Sticker,Item,Year,Amount
SHEC,Debt,2014,7446.58
BOAC,Debt,2014,1661
BOAN,Debt,2014,1200
SDSC,Debt,2014,0
CBIBF,Debt,2014,2900
ECOC,Debt,2014,0
SGBC,Debt,2014,0
SIBC,Debt,2014,6000
SIVC,Revenue,2013,8000.16
SAFC,Revenue,2013,22787
BNBC,Revenue,2013,35277.62
SDSC,Revenue,2013,81596.47
CFAC,Revenue,2013,63633.73
CIEC,Revenue,2013,372617.36
SEMC,Revenue,2013,22250.59
FTSC,Revenue,2013,166648.92
SVOC,Revenue,2013,12029
NEIC,Revenue,2013,4523.42
NTLC,Revenue,2013,112358.17
ONTBF,Revenue,2013,
PALC,Revenue,2013,128792.59
SPHC,Revenue,2013,99611.22
ABJC,Revenue,2013,7783.2
STAC,Revenue,2013,5773.11
CABC,Revenue,2013,11045.52
SICC,Revenue,2013,1203.32
STBC,Revenue,2013,90149.99
SMBC,Revenue,2013,107797
SDCC,Revenue,2013,76744.32
SOGC,Revenue,2013,66108.82
SLBC,Revenue,2013,151364.27
SNTS,Revenue,2013,738314
SCRC,Revenue,2013,53144
TTLC,Revenue,2013,274917
PRSC,Revenue,2013,42846.13
UNLC,Revenue,2013,58799.61
UNXC,Revenue,2013,27722.3
SHEC,Revenue,2013,259353.53
SIVC,Profit,2013,971.48
SAFC,Profit,2013,696
BOAC,Profit,2013,5052
BOAN,Profit,2013,3864.78
BNBC,Profit,2013,2009.95
BICC,Profit,2013,9268.96
SDSC,Profit,2013,1655.83
CFAC,Profit,2013,3403.46
CIEC,Profit,2013,8284.54
CBIBF,Profit,2013,15575
SEMC,Profit,2013,126.92
FTSC,Profit,2013,5198.19
SVOC,Profit,2013,-1560
NEIC,Profit,2013,40.16
NTLC,Profit,2013,-6289.09
ONTBF,Profit,2013,
PALC,Profit,2013,11030.34
SPHC,Profit,2013,-3799.45
ABJC,Profit,2013,1249.23
STAC,Profit,2013,338.37
SGBC,Profit,2013,13051
CABC,Profit,2013,1015.63
SICC,Profit,2013,40.55
STBC,Profit,2013,7834.29
SMBC,Profit,2013,-6104
SIBC,Profit,2013,10521.81
SDCC,Profit,2013,2447.79
SOGC,Profit,2013,5841.39
SLBC,Profit,2013,17697.75
SNTS,Profit,2013,189635
SCRC,Profit,2013,N/A
TTLC,Profit,2013,7471
PRSC,Profit,2013,2066.01
UNLC,Profit,2013,-2130.66
UNXC,Profit,2013,1150.57
SHEC,Profit,2013,2962.39
SIVC,Assets,2013,8108.06
SAFC,Assets,2013,64011
BOAC,Assets,2013,355080
BOAN,Assets,2013,192790.92
BNBC,Assets,2013,27839.7
SDSC,Assets,2013,428741.66
CFAC,Assets,2013,42399.6
CIEC,Assets,2013,573099.11
CBIBF,Assets,2013,452629
SEMC,Assets,2013,16114.26
ECOC,Assets,2013,N/A
FTSC,Assets,2013,131121.92
SVOC,Assets,2013,16574
NEIC,Assets,2013,8313.78
NTLC,Assets,2013,81327.91
ONTBF,Assets,2013,
PALC,Assets,2013,139483.44
SPHC,Assets,2013,116663.14
ABJC,Assets,2013,4492.66
STAC,Assets,2013,6337.93
SGBC,Assets,2013,865432
CABC,Assets,2013,9636.94
SICC,Assets,2013,1767.39
STBC,Assets,2013,52472.04
SMBC,Assets,2013,181054
SIBC,Assets,2013,479750.11
SDCC,Assets,2013,156686.56
SOGC,Assets,2013,83575.94
SLBC,Assets,2013,142168.68
SNTS,Assets,2013,1041625
SCRC,Assets,2013,
TTLC,Assets,2013,77168
PRSC,Assets,2013,22243.17
UNLC,Assets,2013,62602.02
UNXC,Assets,2013,19274.89
SHEC,Assets,2013,72702.62
SIVC,Liabilities,2013,5259.61
SAFC,Liabilities,2013,57865
BOAC,Liabilities,2013,335096
BOAN,Liabilities,2013,171489.64
BNBC,Liabilities,2013,16094.58
SDSC,Liabilities,2013,386036.55
CFAC,Liabilities,2013,21887.92
CIEC,Liabilities,2013,547991.46
CBIBF,Liabilities,2013,403246
SEMC,Liabilities,2013,10029.46
ECOC,Liabilities,2013,N/A
FTSC,Liabilities,2013,85135.9
SVOC,Liabilities,2013,15960
NEIC,Liabilities,2013,7679.98
NTLC,Liabilities,2013,75452.14
ONTBF,Liabilities,2013,
PALC,Liabilities,2013,55192.25
SPHC,Liabilities,2013,49894.2
ABJC,Liabilities,2013,1687.58
STAC,Liabilities,2013,11486.92
SGBC,Liabilities,2013,795801
CABC,Liabilities,2013,3928.74
SICC,Liabilities,2013,1889.7
STBC,Liabilities,2013,36620.88
SMBC,Liabilities,2013,180099
SIBC,Liabilities,2013,438333.49
SDCC,Liabilities,2013,143986.77
SOGC,Liabilities,2013,31959.04
SLBC,Liabilities,2013,76702.99
SNTS,Liabilities,2013,487119
SCRC,Liabilities,2013,
TTLC,Liabilities,2013,46130
PRSC,Liabilities,2013,13895.04
UNLC,Liabilities,2013,55534.03
UNXC,Liabilities,2013,12436.78
SHEC,Liabilities,2013,54090.81
SIVC,Equity,2013,2848.45
SAFC,Equity,2013,6146
BOAC,Equity,2013,19984
BOAN,Equity,2013,21301.28
BNBC,Equity,2013,11745.12
SDSC,Equity,2013,42705.11
CFAC,Equity,2013,20511.68
CIEC,Equity,2013,25107.65
CBIBF,Equity,2013,49383
SEMC,Equity,2013,6084.81
ECOC,Equity,2013,N/A
FTSC,Equity,2013,45986.02
SVOC,Equity,2013,614
NEIC,Equity,2013,633.8
NTLC,Equity,2013,5875.77
ONTBF,Equity,2013,
PALC,Equity,2013,84291.2
SPHC,Equity,2013,66768.94
ABJC,Equity,2013,2805.08
STAC,Equity,2013,-5148.99
SGBC,Equity,2013,69631
SGBC,Equity,2013,-5487.36
CABC,Equity,2013,4692
SICC,Equity,2013,-122.31
STBC,Equity,2013,15851.16
SMBC,Equity,2013,955
SIBC,Equity,2013,41416.61
SDCC,Equity,2013,12699.78
SOGC,Equity,2013,51616.9
SLBC,Equity,2013,65465.7
SNTS,Equity,2013,554506
SCRC,Equity,2013,
TTLC,Equity,2013,31038
PRSC,Equity,2013,8348.13
UNLC,Equity,2013,7067.99
UNXC,Equity,2013,6838.11
SHEC,Equity,2013,18611.81
SIVC,Debt,2013,7024.69
SAFC,Debt,2013,49451
BNBC,Debt,2013,4535.64
CFAC,Debt,2013,8142.91
CIEC,Debt,2013,32358.44
SEMC,Debt,2013,1959.98
FTSC,Debt,2013,41984.47
SVOC,Debt,2013,7473
NEIC,Debt,2013,194.06
NTLC,Debt,2013,56800.99
ONTBF,Debt,2013,0
PALC,Debt,2013,5030.47
SPHC,Debt,2013,20556.73
ABJC,Debt,2013,22.24
STAC,Debt,2013,197.88
CABC,Debt,2013,1013.37
SICC,Debt,2013,325.6
STBC,Debt,2013,17.93
SMBC,Debt,2013,54303
SDCC,Debt,2013,35715.52
SOGC,Debt,2013,6110.58
SLBC,Debt,2013,44720.17
SNTS,Debt,2013,15132
SCRC,Debt,2013,0
TTLC,Debt,2013,1008
PRSC,Debt,2013,1773.95
UNLC,Debt,2013,26506.06
UNXC,Debt,2013,1054.54
SHEC,Debt,2013,7666.57
BOAC,Debt,2013,1293
BOAN,Debt,2013,2190.91
SDSC,Debt,2013,0
CBIBF,Debt,2013,3600
ECOC,Debt,2013,0
SGBC,Debt,2013,0
SIBC,Debt,2013,6000
